# num_particles=100
time,x_est,y_est,x_gt,y_gt,rmse
1768520506.20735,3.49924,3.75214,3.47177,3.69913,0.85704
1768520506.29786,3.53516,3.69711,3.39910,3.76782,1.32657
1768520506.38630,4.75289,4.04340,3.32507,3.83504,1.42403
1768520506.48938,4.49063,4.65315,3.24971,3.90077,1.27250
1768520506.58203,4.10254,4.84241,3.17304,3.96498,1.06241
1768520506.68541,3.89008,4.74850,3.09512,4.02764,0.88770
1768520506.78316,3.54807,4.76957,3.01595,4.08874,0.78283
1768520506.89397,3.45946,4.72053,2.93558,4.14823,0.66155
1768520506.98312,3.41564,4.61590,2.85403,4.20611,0.35381
1768520507.08214,3.11173,4.45508,2.77134,4.26235,0.24038
1768520507.19560,2.99430,4.40132,2.68755,4.31692,0.20125
1768520507.32154,2.93226,4.38322,2.60268,4.36980,0.11090
1768520507.38215,2.74770,4.41008,2.51677,4.42098,0.08150
1768520507.48847,2.64617,4.43873,2.42985,4.47043,0.06452
1768520507.64516,2.58128,4.42208,2.34196,4.51813,0.09280
1768520507.71344,2.49908,4.40864,2.25314,4.56406,0.04932
1768520507.79129,2.30133,4.49018,2.16341,4.60821,0.04894
1768520507.89353,2.24724,4.51548,2.07282,4.65055,0.14987
1768520507.98576,2.27369,4.50672,1.98140,4.69107,0.05283
1768520508.09054,2.03702,4.61169,1.88919,4.72976,0.09175
1768520508.19401,1.96334,4.60112,1.79622,4.76660,0.12786
1768520508.28227,1.87650,4.66708,1.70254,4.80156,0.11874
1768520508.39016,1.87881,4.68128,1.60817,4.83465,0.06220
1768520508.48483,1.70389,4.73938,1.51316,4.86585,0.03435
1768520508.59646,1.57409,4.83894,1.41755,4.89514,0.04320
1768520508.68587,1.54525,4.83692,1.32137,4.92251,0.09194
1768520508.79548,1.32879,4.87116,1.22466,4.94795,0.06345
1768520508.88630,1.34632,4.86417,1.12746,4.97145,0.03694
1768520508.98724,1.24271,4.91571,1.02982,4.99300,0.23791
1768520509.08729,1.25282,4.91011,0.93176,5.01260,0.02946
1768520509.19204,1.04669,4.96885,0.83333,5.03023,0.08736
1768520509.28596,0.86340,4.95820,0.73456,5.04589,0.16244
1768520509.38258,0.87675,4.96735,0.63550,5.05957,0.04241
1768520509.48318,0.77642,5.05275,0.53619,5.07127,0.07002
1768520509.58403,0.70552,5.05992,0.43667,5.08098,0.10090
1768520509.70317,0.63080,5.10635,0.33697,5.08869,0.02113
1768520509.78919,0.43372,5.06005,0.23713,5.09441,0.07837
1768520509.88472,0.30976,5.12386,0.13720,5.09814,0.07449
1768520510.00594,0.17355,5.13322,0.03722,5.09986,0.09780
1768520510.11054,0.04018,5.11052,-0.06278,5.09959,0.09796
1768520510.18339,0.03298,5.12023,-0.16275,5.09731,0.05618
1768520510.28737,-0.11733,5.11301,-0.26266,5.09304,0.06912
1768520510.39175,-0.09725,5.11937,-0.36246,5.08677,0.09850
1768520510.49348,-0.33559,5.15924,-0.46212,5.07850,0.03579
1768520510.59573,-0.35685,5.12211,-0.56159,5.06824,0.10163
1768520510.70012,-0.49304,5.14327,-0.66083,5.05600,0.06363
1768520510.79813,-0.50556,5.09840,-0.75981,5.04177,0.21655
