# num_particles=2000
time,x_est,y_est,x_gt,y_gt,rmse
1768520689.68891,-2.47377,-4.27531,-2.15022,-4.41357,0.21616
1768520689.80831,-2.44667,-4.30614,-2.05952,-4.45569,0.11577
1768520689.88502,-2.17011,-4.42143,-1.96800,-4.49599,0.66099
1768520690.00779,-1.53020,-4.85157,-1.87570,-4.53444,0.39777
1768520690.09273,-1.53114,-4.73320,-1.78264,-4.57105,0.27839
1768520690.23633,-1.60529,-4.78564,-1.68887,-4.60578,0.18198
1768520690.30356,-1.63239,-4.77878,-1.59442,-4.63864,0.11929
1768520690.39086,-1.55877,-4.75247,-1.49934,-4.66960,0.07785
1768520690.48406,-1.47199,-4.74248,-1.40365,-4.69865,0.05937
1768520690.60145,-1.48542,-4.72732,-1.30740,-4.72578,0.04146
1768520690.71277,-1.44399,-4.68904,-1.21063,-4.75098,0.21372
1768520690.78945,-1.41903,-4.70360,-1.11338,-4.77424,0.12145
1768520690.88772,-1.23132,-4.74529,-1.01568,-4.79555,0.02877
1768520690.99539,-1.14179,-4.76968,-0.91757,-4.81491,0.10002
1768520691.10695,-1.01330,-4.78592,-0.81909,-4.83229,0.18175
1768520691.19820,-0.99575,-4.78955,-0.72029,-4.84771,0.12518
1768520691.30691,-0.84291,-4.82251,-0.62120,-4.86114,0.12847
1768520691.39600,-0.74747,-4.83748,-0.52186,-4.87259,0.11874
1768520691.48436,-0.62917,-4.82177,-0.42231,-4.88206,0.03345
1768520691.61293,-0.53618,-4.84236,-0.32259,-4.88952,0.04075
1768520691.68959,-0.35324,-4.86268,-0.22274,-4.89500,0.10357
1768520691.78704,-0.21911,-4.88501,-0.12280,-4.89847,0.13178
1768520691.91087,-0.09166,-4.88139,-0.02281,-4.89995,0.03891
1768520692.04373,0.00317,-4.87099,0.07718,-4.89943,0.03258
1768520692.08512,0.04708,-4.88697,0.17715,-4.89690,0.11918
1768520692.20488,0.05982,-4.91785,0.27705,-4.89238,0.17268
1768520692.30600,0.10440,-4.88910,0.37683,-4.88586,0.16688
1768520692.38390,0.21004,-4.89140,0.47647,-4.87735,0.02662
1768520692.48965,0.40205,-4.87735,0.57591,-4.86684,0.03861
1768520692.59827,0.50903,-4.89809,0.67513,-4.85435,0.04101
1768520692.70692,0.60906,-4.84269,0.77407,-4.83988,0.03198
1768520692.78837,0.78367,-4.80938,0.87271,-4.82343,0.02863
1768520692.89250,0.77415,-4.81125,0.97100,-4.80502,0.20258
1768520692.99619,1.05355,-4.73213,1.06890,-4.78464,0.05009
1768520693.08466,1.02593,-4.75889,1.16637,-4.76230,0.16573
1768520693.18918,1.21807,-4.71244,1.26337,-4.73802,0.03196
1768520693.32903,1.28056,-4.71108,1.35988,-4.71181,0.07538
1768520693.39378,1.28528,-4.72272,1.45583,-4.68367,0.13556
1768520693.48798,1.32601,-4.72269,1.55121,-4.65362,0.14625
1768520693.60034,1.41098,-4.69516,1.64597,-4.62167,0.03550
1768520693.68601,1.66951,-4.59510,1.74006,-4.58783,0.02110
1768520693.79049,1.65362,-4.60201,1.83347,-4.55211,0.18670
1768520693.90709,1.88445,-4.46947,1.92614,-4.51453,0.07199
1768520693.99289,1.87056,-4.46877,2.01803,-4.47511,0.21778
1768520694.10051,2.10333,-4.38792,2.10913,-4.43386,0.20039
1768520694.19628,2.17114,-4.34582,2.19938,-4.39079,0.05325
1768520694.32924,2.14908,-4.37329,2.28875,-4.34593,0.12479
1768520694.40233,2.17482,-4.39685,2.37720,-4.29929,0.04936
1768520694.49574,2.30709,-4.30010,2.46471,-4.25089,0.09353
1768520694.59842,2.52050,-4.17583,2.55122,-4.20075,0.05135
1768520694.69728,2.54135,-4.15035,2.63672,-4.14888,0.05363
1768520694.81779,2.55952,-4.14776,2.72117,-4.09532,0.09218
1768520694.88749,2.66823,-4.06226,2.80453,-4.04008,0.12271
1768520694.98365,2.69094,-4.08650,2.88676,-3.98319,0.03640
1768520695.09673,2.76823,-4.03727,2.96784,-3.92466,0.03707
1768520695.20683,2.85048,-3.97556,3.04774,-3.86452,0.01900
1768520695.28935,3.05745,-3.88085,3.12641,-3.80280,0.03311
1768520695.39256,3.03463,-3.89493,3.20384,-3.73952,0.15315
1768520695.49308,3.06752,-3.80932,3.27998,-3.67470,0.09470
1768520695.58793,3.18917,-3.70157,3.35482,-3.60837,0.15206
1768520695.68862,3.21939,-3.67752,3.42831,-3.54055,0.09886
