# num_particles=1000
time,x_est,y_est,x_gt,y_gt,rmse
1768584470.55306,1.09911,-4.74052,1.33007,-4.72013,0.06311
1768584470.65851,1.27017,-4.79704,1.42620,-4.69259,0.05775
1768584470.74967,1.29847,-4.76847,1.52176,-4.66313,0.00625
1768584470.85090,1.42389,-4.68678,1.61671,-4.63176,0.10431
1768584470.94790,1.48715,-4.56472,1.71101,-4.59850,0.12608
1768584471.04890,1.49101,-4.62185,1.80464,-4.56336,0.03062
1768584471.15195,1.72204,-4.56994,1.89754,-4.52636,0.04255
1768584471.25428,1.77727,-4.53078,1.98968,-4.48751,0.02599
1768584471.35451,1.90276,-4.50090,2.08102,-4.44682,0.09791
1768584471.44828,2.00521,-4.39083,2.17154,-4.40431,0.04398
1768584471.55232,2.09866,-4.40653,2.26118,-4.36000,0.07745
1768584471.65035,2.20174,-4.33299,2.34993,-4.31391,0.06508
1768584471.75312,2.20218,-4.33256,2.43773,-4.26605,0.14230
1768584471.84746,2.30747,-4.32334,2.52456,-4.21645,0.04306
1768584471.95431,2.47529,-4.24500,2.61037,-4.16512,0.06272
1768584472.04914,2.55994,-4.20241,2.69515,-4.11208,0.10783
1768584472.15289,2.60991,-4.04603,2.77885,-4.05736,0.06705
1768584472.24934,2.78654,-4.12396,2.86143,-4.00097,0.13328
1768584472.36009,2.78709,-4.11160,2.94287,-3.94295,0.10973
1768584472.45158,2.85176,-4.00409,3.02314,-3.88331,0.01545
1768584472.54781,2.95832,-3.94317,3.10220,-3.82207,0.04218
1768584472.65754,2.99335,-3.91316,3.18001,-3.75927,0.01727
1768584472.74749,3.08502,-3.82026,3.25656,-3.69492,0.10846
1768584472.85224,3.11060,-3.84261,3.33180,-3.62905,0.10040
1768584472.95109,3.24165,-3.67327,3.40571,-3.56170,0.06227
1768584473.04894,3.38795,-3.60214,3.47826,-3.49287,0.01736
1768584473.14887,3.41373,-3.57709,3.54941,-3.42262,0.09429
1768584473.25250,3.57122,-3.47713,3.61915,-3.35095,0.00490
1768584473.34998,3.55362,-3.42011,3.68744,-3.27790,0.02441
1768584473.45615,3.61230,-3.37438,3.75426,-3.20350,0.06949
1768584473.54874,3.63905,-3.32778,3.81957,-3.12778,0.04346
1768584473.65036,3.71139,-3.21064,3.88336,-3.05077,0.07937
1768584473.74910,3.81456,-3.09034,3.94559,-2.97249,0.11975
1768584473.85144,3.76397,-3.06008,4.00625,-2.89299,0.02800
1768584473.94810,3.91828,-2.96633,4.06530,-2.81230,0.03153
1768584474.05449,3.97974,-2.91006,4.12273,-2.73043,0.03462
1768584474.14928,4.06614,-2.84691,4.17851,-2.64744,0.13896
1768584474.24867,4.11864,-2.77283,4.23262,-2.56334,0.08768
1768584474.34759,4.26618,-2.64889,4.28504,-2.47818,0.06005
1768584474.44848,4.22644,-2.62307,4.33574,-2.39199,0.05685
1768584474.54908,4.30621,-2.44057,4.38471,-2.30480,0.10332
1768584474.66560,4.25801,-2.32393,4.43193,-2.21666,0.16823
1768584474.74869,4.30055,-2.32173,4.47737,-2.12758,0.08980
1768584474.85277,4.46820,-2.21691,4.52103,-2.03761,0.01879
1768584474.95500,4.49567,-2.12332,4.56287,-1.94679,0.04300
1768584475.06057,4.50815,-2.07864,4.60289,-1.85515,0.01672
1768584475.14762,4.56206,-1.93009,4.64107,-1.76273,0.05660
1768584475.24874,4.55294,-1.88176,4.67740,-1.66956,0.04580
1768584475.34925,4.60487,-1.73467,4.71185,-1.57568,0.08523
1768584475.45143,4.60526,-1.71495,4.74442,-1.48114,0.01391
1768584475.55235,4.70010,-1.58313,4.77509,-1.38596,0.05524
1768584475.65962,4.77219,-1.52889,4.80385,-1.29019,0.07940
1768584475.75995,4.79795,-1.36937,4.83069,-1.19386,0.14718
1768584475.85193,4.74245,-1.31165,4.85560,-1.09701,0.01115
1768584475.95007,4.82863,-1.18290,4.87857,-0.99969,0.00627
1768584476.05047,4.84956,-1.09536,4.89959,-0.90192,0.15405
1768584476.15091,4.88401,-1.05518,4.91865,-0.80376,0.20893
1768584476.25060,4.91949,-1.01268,4.93574,-0.70523,0.13895
1768584476.35193,4.90759,-0.84129,4.95085,-0.60638,0.08690
1768584476.45269,4.96016,-0.69278,4.96399,-0.50725,0.08351
1768584476.55171,5.00144,-0.58189,4.97514,-0.40787,0.10988
1768584476.65122,4.98012,-0.51764,4.98430,-0.30830,0.04738
1768584476.75023,4.95446,-0.45050,4.99147,-0.20856,0.06563
