# num_particles=1000
time,x_est,y_est,x_gt,y_gt,rmse
1768587672.65890,6.71037,5.61468,4.63891,1.96808,4.43803
1768587672.74818,6.63603,5.77939,4.60063,2.06046,4.87563
1768587672.84912,0.25487,-0.16544,4.56050,2.15205,4.88411
1768587672.95090,0.25226,-0.16355,4.51855,2.24283,4.88382
1768587673.05285,0.18678,-0.01271,4.47479,2.33274,4.88051
1768587673.15229,0.12266,0.12256,4.42925,2.42177,4.87980
1768587673.25098,0.07880,0.21433,4.38193,2.50986,4.87559
1768587673.35259,0.03803,0.29584,4.33286,2.59699,4.87330
1768587673.45650,0.06776,0.24336,4.28206,2.68312,4.88470
1768587673.55033,-0.10164,0.54870,4.22954,2.76822,4.86556
1768587673.65120,-0.07246,0.51244,4.17533,2.85225,4.85607
1768587673.74961,-0.08269,0.53527,4.11946,2.93518,4.83761
1768587673.84995,-0.08024,0.53414,4.06193,3.01698,4.83613
1768587673.95527,-0.09596,0.56486,4.00279,3.09761,4.86429
1768587674.04782,-0.31314,0.85393,3.94204,3.17704,4.86591
1768587674.15390,-0.31483,0.85366,3.87971,3.25524,4.90515
1768587674.25750,-0.48394,1.06251,3.81584,3.33218,4.86694
1768587674.35497,-0.50966,1.10120,3.75043,3.40783,4.91272
1768587674.44979,-0.64479,1.27363,3.68353,3.48215,4.88285
1768587674.55593,-0.64135,1.27370,3.61516,3.55512,4.85811
1768587674.64963,-0.72852,1.37940,3.54534,3.62670,4.85461
1768587674.75785,-0.78826,1.43874,3.47410,3.69688,4.82760
1768587674.85123,-0.80616,1.46414,3.40147,3.76562,4.80005
1768587674.95474,-0.80968,1.46200,3.32748,3.83289,4.82396
1768587675.05757,-0.93948,1.58264,3.25216,3.89867,4.79030
1768587675.14758,-0.94140,1.58327,3.17554,3.96293,4.80516
1768587675.24727,-0.98308,1.62880,3.09766,4.02564,4.74679
1768587675.35068,-0.94039,1.59839,3.01853,4.08679,4.74184
1768587675.45037,-1.00925,1.65534,2.93820,4.14634,4.73890
1768587675.54922,-1.07401,1.69758,2.85669,4.20427,4.76272
1768587675.65127,-1.20411,1.79585,2.77404,4.26056,4.73505
1768587675.76896,-1.31681,1.87608,2.69028,4.31518,4.83228
1768587675.86480,-1.50083,2.00745,2.60544,4.36812,4.82110
1768587675.94972,-1.66285,2.12654,2.51956,4.41935,4.82312
1768587676.04966,-1.66422,2.12479,2.43268,4.46885,4.83397
1768587676.15892,-1.85606,2.23859,2.34482,4.51661,4.96040
1768587676.25926,-2.14084,2.39896,2.25602,4.56260,4.90268
1768587676.36762,-2.14236,2.39683,2.16633,4.60681,4.98964
1768587676.44800,-2.36436,2.51648,2.07576,4.64921,5.09037
1768587676.55044,-2.50399,2.58195,1.98437,4.68979,5.09743
1768587676.65045,-2.60523,2.63126,1.89218,4.72854,4.94272
1768587676.76442,-2.57734,2.61812,1.79924,4.76543,4.81400
1768587676.85878,-2.49300,2.58569,1.70558,4.80046,4.81266
1768587676.95887,-2.49355,2.58973,1.61123,4.83361,4.78120
1768587677.05056,-2.63980,2.64534,1.51625,4.86487,4.91061
1768587677.15465,-2.81527,2.70754,1.42065,4.89422,4.85416
1768587677.25281,-2.93500,2.75151,1.32449,4.92165,4.84918
1768587677.35266,-2.92753,2.74763,1.22780,4.94715,4.80225
1768587677.44991,-2.96174,2.75605,1.13062,4.97072,4.88747
1768587677.55615,-3.16651,2.80765,1.03298,4.99234,4.99773
1768587677.65212,-3.50335,2.89494,0.93494,5.01200,4.92054
1768587677.76761,-3.50566,2.89236,0.83652,5.02969,4.89947
1768587677.85103,-3.57566,2.89954,0.73776,5.04541,5.01449
1768587677.94880,-3.71426,2.92362,0.63871,5.05916,4.84908
1768587678.05512,-3.71473,2.92348,0.53941,5.07092,4.94703
1768587678.15333,-3.92860,2.94725,0.43989,5.08069,5.16983
1768587678.25223,-4.18645,2.97489,0.34019,5.08847,5.14434
1768587678.36078,-4.35300,2.98177,0.24036,5.09426,5.14221
1768587678.44788,-4.35059,2.98162,0.14044,5.09805,4.91022
1768587678.55523,-4.28774,2.97638,0.04045,5.09984,4.91112
1768587678.66512,-4.38696,2.97448,-0.05955,5.09963,4.76598
1768587678.75681,-4.32666,2.97684,-0.15952,5.09742,4.85726
1768587678.85005,-4.52814,2.97420,-0.25943,5.09321,4.85429
1768587678.96562,-4.52413,2.97273,-0.35923,5.08700,4.98148
1768587679.06799,-4.86203,2.95628,-0.45890,5.07880,4.88827
1768587679.15200,-4.86376,2.95928,-0.55837,5.06860,5.06003
1768587679.25998,-5.04907,2.94943,-0.65763,5.05642,4.79703
1768587679.35624,-4.97199,2.95935,-0.75662,5.04226,4.73534
1768587679.44852,-5.00905,2.95895,-0.85530,5.02612,4.68127
1768587679.55131,-5.05289,2.95378,-0.95365,5.00801,5.02029
1768587679.66058,-5.40203,2.89760,-1.05161,4.98794,4.83424
1768587679.74833,-5.40932,2.89503,-1.14915,4.96591,4.83107
1768587679.84929,-5.40509,2.89355,-1.24624,4.94194,4.70487
1768587679.96438,-5.47456,2.87868,-1.34282,4.91602,4.69650
1768587680.05594,-5.56495,2.85914,-1.43886,4.88819,4.89077
1768587680.16428,-5.75741,2.81102,-1.53433,4.85843,4.69308
1768587680.25356,-5.75775,2.81203,-1.62919,4.82678,4.74913
1768587680.35761,-5.90809,2.76637,-1.72339,4.79323,4.65143
1768587680.47102,-5.90789,2.76201,-1.81691,4.75781,4.38871
1768587680.54873,-5.75340,2.81749,-1.90969,4.72052,4.42433
1768587680.65134,-5.88105,2.77040,-2.00171,4.68138,4.62878
1768587680.75090,-6.07009,2.69155,-2.09294,4.64042,4.75801
1768587680.84999,-6.37229,2.56056,-2.18332,4.59763,4.75911
1768587680.95450,-6.37279,2.55906,-2.27283,4.55305,4.66904
1768587681.05494,-6.38080,2.55286,-2.36143,4.50668,4.67284
1768587681.15561,-6.47227,2.50364,-2.44909,4.45856,4.70363
1768587681.25269,-6.67775,2.39882,-2.53576,4.40869,4.60242
1768587681.35446,-6.67568,2.39790,-2.62142,4.35709,4.62109
1768587681.44907,-6.69382,2.39250,-2.70603,4.30380,4.74078
1768587681.55075,-6.88571,2.28567,-2.78956,4.24882,4.67217
1768587681.65113,-6.91181,2.26895,-2.87198,4.19218,4.67940
