# num_particles=1000
time,x_est,y_est,x_gt,y_gt,rmse
1768583112.14843,-4.66714,-1.71246,-4.57735,-1.90967,0.02426
1768583112.25442,-4.60407,-1.83847,-4.53624,-2.00083,0.82820
1768583112.34933,-4.67746,-2.73180,-4.49332,-2.09115,0.75422
1768583112.44880,-4.60793,-2.75164,-4.44860,-2.18059,0.42131
1768583112.55003,-4.68793,-2.46482,-4.40210,-2.26912,0.29041
1768583112.65126,-4.64938,-2.42140,-4.35384,-2.35670,0.27526
1768583112.75128,-4.53380,-2.51083,-4.30384,-2.44330,0.21937
1768583112.85308,-4.52022,-2.47937,-4.25212,-2.52888,0.20464
1768583112.95672,-4.45570,-2.54961,-4.19869,-2.61342,0.17320
1768583113.05894,-4.30659,-2.69329,-4.14359,-2.69686,0.20269
1768583113.15747,-4.18205,-2.81542,-4.08683,-2.77919,0.07618
1768583113.25139,-4.16293,-2.78264,-4.02843,-2.86036,0.14338
1768583113.35429,-4.20662,-2.70041,-3.96842,-2.94035,0.21267
1768583113.44797,-4.18335,-2.71466,-3.90682,-3.01913,0.18286
1768583113.55713,-4.10319,-2.81677,-3.84366,-3.09666,0.09626
1768583113.65461,-3.98054,-2.95723,-3.77896,-3.17291,0.12097
1768583113.75146,-3.93019,-3.01212,-3.71276,-3.24785,0.14795
1768583113.85062,-3.88474,-3.06946,-3.64506,-3.32145,0.03651
1768583113.95233,-3.74085,-3.22453,-3.57591,-3.39368,0.11719
1768583114.04872,-3.72398,-3.23481,-3.50532,-3.46451,0.24015
1768583114.15201,-3.73922,-3.21761,-3.43334,-3.53392,0.42369
1768583114.25171,-3.73223,-3.23363,-3.35998,-3.60188,0.25572
1768583114.35466,-3.61030,-3.34932,-3.28527,-3.66835,0.08722
1768583114.45098,-3.41922,-3.53787,-3.20925,-3.73332,0.15859
1768583114.55460,-3.38708,-3.54675,-3.13195,-3.79675,0.13774
1768583114.64917,-3.28654,-3.61930,-3.05339,-3.85863,0.04682
1768583114.75665,-3.05021,-3.81191,-2.97361,-3.91892,0.08368
1768583114.85083,-3.01948,-3.84893,-2.89265,-3.97761,0.07294
1768583114.94810,-3.02536,-3.86752,-2.81052,-4.03466,0.12340
1768583115.05610,-2.98655,-3.89755,-2.72727,-4.09006,0.11213
1768583115.15434,-2.71723,-4.09685,-2.64293,-4.14378,0.04610
1768583115.25201,-2.68485,-4.10809,-2.55753,-4.19581,0.01315
1768583115.35091,-2.54441,-4.19502,-2.47111,-4.24612,0.01643
1768583115.44968,-2.54119,-4.19749,-2.38370,-4.29469,0.08223
1768583115.55797,-2.53666,-4.19646,-2.29533,-4.34150,0.14529
1768583115.64804,-2.41145,-4.25416,-2.20605,-4.38653,0.04258
1768583115.76649,-2.25381,-4.33209,-2.11589,-4.42977,0.05894
1768583115.84984,-2.14812,-4.37567,-2.02487,-4.47120,0.14824
1768583115.94893,-1.97345,-4.47085,-1.93305,-4.51080,0.13255
1768583116.05578,-1.89546,-4.49991,-1.84045,-4.54856,0.19470
1768583116.14843,-1.65498,-4.60779,-1.74712,-4.58446,0.32948
1768583116.24919,-1.53631,-4.67527,-1.65309,-4.61848,0.34169
1768583116.35248,-1.43274,-4.71832,-1.55839,-4.65062,0.30390
1768583116.46071,-1.36783,-4.72330,-1.46308,-4.68085,0.11487
1768583116.55366,-1.35448,-4.71828,-1.36717,-4.70918,0.29199
1768583116.64864,-1.18740,-4.77707,-1.27072,-4.73558,0.21907
1768583116.75008,-1.15564,-4.76615,-1.17376,-4.76004,0.20992
1768583116.85352,-1.06704,-4.78636,-1.07633,-4.78256,0.02589
1768583116.95139,-1.15750,-4.78019,-0.97847,-4.80313,0.08823
1768583117.04880,-0.99263,-4.81047,-0.88022,-4.82174,0.17667
1768583117.16182,-0.80564,-4.83978,-0.78162,-4.83838,0.07676
1768583117.27588,-0.81523,-4.86259,-0.68270,-4.85304,0.01652
1768583117.34898,-0.68490,-4.86941,-0.58351,-4.86572,0.04141
1768583117.45096,-0.71727,-4.87584,-0.48408,-4.87642,0.11523
1768583117.54941,-0.69603,-4.89054,-0.38447,-4.88513,0.06465
1768583117.64801,-0.54799,-4.88625,-0.28469,-4.89184,0.06261
1768583117.75646,-0.44706,-4.88379,-0.18481,-4.89655,0.05885
1768583117.85544,-0.24260,-4.90768,-0.08484,-4.89927,0.09397
1768583117.95009,-0.17881,-4.89904,0.01515,-4.89999,0.07868
1768583118.09335,-0.16262,-4.91115,0.11514,-4.89870,0.12988
1768583118.14818,-0.11352,-4.91760,0.21509,-4.89542,0.24187
1768583118.25578,-0.12619,-4.91483,0.31494,-4.89014,0.24760
1768583118.36314,-0.03141,-4.91876,0.41468,-4.88286,0.16442
1768583118.45240,0.25178,-4.90521,0.51425,-4.87359,0.19632
1768583118.56275,0.31870,-4.89099,0.61361,-4.86234,0.06602
1768583118.65897,0.55180,-4.88553,0.71273,-4.84909,0.16767
1768583118.74978,0.54638,-4.87013,0.81156,-4.83387,0.17789
1768583118.85626,0.63712,-4.86877,0.91007,-4.81667,0.05692
1768583118.95915,0.86848,-4.83429,1.00821,-4.79751,0.05119
1768583119.06027,1.05913,-4.80280,1.10595,-4.77639,0.13454
1768583119.16012,1.13521,-4.75309,1.20325,-4.75331,0.08078
1768583119.27011,1.12562,-4.73097,1.30007,-4.72830,0.20500
1768583119.36434,1.09635,-4.75115,1.39637,-4.70135,0.08626
1768583119.47615,1.21432,-4.71887,1.49211,-4.67249,0.21401
1768583119.58684,1.28067,-4.70554,1.58726,-4.64171,0.18960
1768583119.84400,1.40284,-4.68572,1.77561,-4.57449,0.14547
1768583119.86546,1.53931,-4.63850,1.77561,-4.57449,0.20863
1768583119.97397,1.57364,-4.62682,1.86874,-4.53806,0.26314
1768583120.06366,1.61676,-4.61390,1.96112,-4.49978,0.07256
1768583120.16992,1.79844,-4.55604,2.05272,-4.45966,0.20341
1768583120.24870,1.86519,-4.53847,2.14349,-4.41772,0.05458
1768583120.38291,1.99890,-4.46877,2.23341,-4.37397,0.04617
1768583120.44882,2.09864,-4.42870,2.32244,-4.32843,0.01748
1768583120.55674,2.30504,-4.32674,2.41054,-4.28112,0.00414
1768583120.67093,2.32657,-4.32819,2.49767,-4.23205,0.04927
1768583120.75615,2.45647,-4.26329,2.58381,-4.18126,0.13732
1768583120.85983,2.46726,-4.25388,2.66891,-4.12875,0.07634
1768583120.95529,2.64712,-4.13860,2.75295,-4.07455,0.09880
1768583121.06813,2.67340,-4.13315,2.83588,-4.01868,0.08396
1768583121.16988,2.82754,-4.03602,2.91768,-3.96116,0.17344
1768583121.43848,2.77786,-4.06379,2.99832,-3.90202,0.09814
1768583121.44985,3.07709,-3.84348,3.07775,-3.84128,0.07790
1768583121.57208,3.01149,-3.88224,3.15596,-3.77896,0.16223
1768583121.65043,3.03350,-3.88537,3.23290,-3.71509,0.01120
1768583121.77642,3.14492,-3.78084,3.30855,-3.64969,0.19286
1768583121.86183,3.16120,-3.77413,3.38288,-3.58279,0.01004
1768583121.94930,3.38498,-3.57297,3.45585,-3.51442,0.04761
1768583122.06945,3.41159,-3.54482,3.52744,-3.44461,0.16224
1768583122.15100,3.39728,-3.54146,3.59763,-3.37337,0.13804
1768583122.24891,3.48767,-3.45684,3.66637,-3.30075,0.02382
1768583122.35318,3.64671,-3.31421,3.73365,-3.22677,0.10905
1768583122.45163,3.66857,-3.31428,3.79943,-3.15146,0.18600
1768583122.54784,3.67528,-3.28996,3.86370,-3.07484,0.03296
1768583122.65201,3.77494,-3.17352,3.92642,-2.99696,0.01166
1768583122.75132,3.85432,-3.08177,3.98757,-2.91784,0.05278
1768583122.86931,3.89132,-3.03637,4.04712,-2.83751,0.12134
1768583122.94849,3.98360,-2.94089,4.10506,-2.75600,0.11937
1768583123.05227,3.98998,-2.94231,4.16135,-2.67336,0.09781
1768583123.15311,4.04686,-2.83461,4.21598,-2.58960,0.23566
1768583123.25320,4.07089,-2.77530,4.26893,-2.50477,0.30156
1768583123.36103,4.08722,-2.74544,4.32017,-2.41889,0.13969
1768583123.46351,4.17195,-2.60531,4.36968,-2.33201,0.15114
1768583123.55347,4.25973,-2.43572,4.41744,-2.24416,0.06609
1768583123.65820,4.35281,-2.25798,4.46344,-2.15537,0.03837
1768583123.76120,4.39065,-2.21669,4.50765,-2.06567,0.05692
1768583123.89470,4.46503,-2.10340,4.55006,-1.97511,0.14893
1768583123.98600,4.56509,-1.92826,4.59065,-1.88372,0.06844
1768583124.06323,4.58845,-1.91846,4.62940,-1.79154,0.13745
1768583124.14908,4.57032,-1.91564,4.66630,-1.69860,0.02770
1768583124.25088,4.62533,-1.76414,4.70134,-1.60494,0.01539
1768583124.35190,4.68608,-1.60291,4.73450,-1.51060,0.04913
1768583124.46033,4.74477,-1.46255,4.76576,-1.41561,0.21137
1768583124.55786,4.80423,-1.31106,4.79512,-1.32002,0.15263
1768583124.87236,4.82594,-1.27535,4.82256,-1.22386,0.04698
1768583124.88247,4.81858,-1.27067,4.82256,-1.22386,0.11380
1768583124.95609,4.85184,-1.11389,4.84807,-1.12717,0.10136
1768583125.05771,4.85172,-1.12678,4.87164,-1.02999,0.09406
1768583125.16110,4.88604,-1.04111,4.89326,-0.93236,0.01669
1768583125.26524,4.88702,-1.03646,4.91293,-0.83431,0.08883
1768583125.35489,4.90769,-0.92299,4.93063,-0.73589,0.01136
1768583125.47778,4.92246,-0.84050,4.94636,-0.63714,0.14352
1768583125.55131,4.91387,-0.87844,4.96012,-0.53809,0.30490
1768583125.65309,4.90896,-0.83867,4.97189,-0.43879,0.23756
1768583125.75720,4.92018,-0.77227,4.98167,-0.33927,0.12926
1768583125.85557,4.94575,-0.46343,4.98946,-0.23958,0.10134
1768583125.95492,4.95530,-0.43712,4.99525,-0.13975,0.02818
1768583126.06075,4.99552,-0.21206,4.99904,-0.03982,0.10127
1768583126.15171,4.98974,-0.03863,5.00084,0.06016,0.00690
1768583126.24975,5.00432,-0.04427,5.00064,0.16016,0.04788
1768583126.35311,4.97809,0.11792,4.99843,0.26014,0.06038
1768583126.45390,4.99507,0.19985,4.99423,0.36005,0.20704
1768583126.55289,4.99968,0.46717,4.98803,0.45985,0.18392
1768583126.67745,5.01730,0.64143,4.97984,0.55951,0.04222
1768583126.74953,5.01571,0.58179,4.96965,0.65899,0.10129
1768583126.87466,5.01184,0.56691,4.95748,0.75825,0.05367
1768583126.95721,4.99788,0.72291,4.94333,0.85724,0.04530
1768583127.05556,4.95976,0.89946,4.92719,0.95593,0.10422
1768583127.15198,4.93494,0.96112,4.90909,1.05427,0.10004
1768583127.29777,4.93188,0.95687,4.88902,1.15224,0.15798
1768583127.36336,4.91636,0.99664,4.86700,1.24978,0.21932
1768583127.45387,4.90474,1.03373,4.84304,1.34686,0.02810
1768583127.56167,4.85400,1.22487,4.81713,1.44345,0.06783
1768583127.66163,4.82893,1.37665,4.78930,1.53950,0.04790
1768583127.75350,4.77892,1.49273,4.75956,1.63497,0.13840
1768583127.89604,4.78820,1.49956,4.72791,1.72983,0.03888
1768583128.05116,4.73326,1.69131,4.65895,1.91755,0.09311
1768583128.06746,4.72656,1.73666,4.65895,1.91755,0.08311
1768583128.15732,4.71868,1.74456,4.62167,2.01034,0.10863
1768583128.27203,4.68388,1.81182,4.58254,2.10236,0.22840
1768583128.36164,4.65966,1.88737,4.54158,2.19359,0.00998
1768583128.45442,4.58508,2.09271,4.49880,2.28397,0.18695
1768583128.54874,4.58299,2.11705,4.45423,2.37349,0.08571
1768583128.65414,4.53396,2.20580,4.40787,2.46209,0.04838
1768583128.75447,4.38375,2.50403,4.35975,2.54975,0.08915
1768583128.88598,4.35891,2.53660,4.30989,2.63643,0.01148
1768583128.96824,4.35160,2.55784,4.25830,2.72209,0.11901
1768583129.05041,4.32255,2.62192,4.20501,2.80671,0.10432
1768583129.15956,4.31518,2.63464,4.15004,2.89024,0.37677
1768583129.25231,4.34707,2.56910,4.09341,2.97266,0.41355
1768583129.34823,4.32643,2.63101,4.03514,3.05393,0.13009
1768583129.45500,4.16822,2.86623,3.97526,3.13402,0.14204
1768583129.55624,4.03954,3.00736,3.91378,3.21289,0.07654
1768583129.65388,3.93735,3.14006,3.85075,3.29052,0.07387
1768583129.75659,3.87763,3.22172,3.78617,3.36687,0.06282
1768583129.84867,3.87748,3.23366,3.72008,3.44191,0.01311
1768583129.95725,3.77311,3.36578,3.65250,3.51562,0.05682
1768583130.05569,3.68480,3.46887,3.58347,3.58796,0.13688
1768583130.15443,3.67055,3.48236,3.51300,3.65891,0.03790
1768583130.25583,3.54821,3.57406,3.44112,3.72843,0.03549
1768583130.35502,3.43164,3.69424,3.36787,3.79651,0.13234
1768583130.45968,3.45468,3.69662,3.29327,3.86310,0.07946
1768583130.56498,3.34522,3.80298,3.21735,3.92819,0.16631
1768583130.65155,3.34204,3.81813,3.14015,3.99174,0.08308
1768583130.75727,3.20773,3.94342,3.06169,4.05375,0.05270
1768583130.85378,3.11172,4.03717,2.98201,4.11416,0.09285
1768583130.95576,3.06011,4.06395,2.90114,4.17298,0.18812
1768583131.05811,3.05668,4.06716,2.81910,4.23016,0.24762
1768583131.16317,3.02486,4.09240,2.73594,4.28569,0.03628
