# num_particles=1000
time,x_est,y_est,x_gt,y_gt,rmse
1768585973.45401,-4.52054,-2.06834,-4.45654,-2.16504,0.06888
1768585973.55282,-4.49231,-2.10618,-4.41035,-2.25373,0.14340
1768585973.64855,-4.48637,-2.13214,-4.36239,-2.34148,0.97454
1768585973.74984,-3.59687,-2.79036,-4.31270,-2.42825,0.58597
1768585973.85146,-3.83203,-2.59063,-4.26127,-2.51402,0.02887
1768585973.95537,-4.32338,-2.40143,-4.20814,-2.59873,0.00362
1768585974.04972,-4.26397,-2.51160,-4.15333,-2.68237,0.05474
1768585974.14995,-4.23064,-2.64863,-4.09686,-2.76489,0.02283
1768585974.24925,-4.14485,-2.66118,-4.03874,-2.84627,0.04081
1768585974.35111,-4.13764,-2.76365,-3.97901,-2.92647,0.11588
1768585974.45556,-4.02596,-2.73110,-3.91769,-3.00546,0.04931
1768585974.56064,-3.93555,-2.90319,-3.85480,-3.08321,0.16206
1768585974.64926,-3.87839,-2.92288,-3.79037,-3.15968,0.06918
1768585974.75467,-3.84376,-3.15151,-3.72442,-3.23486,0.07287
1768585974.84982,-3.80166,-3.23167,-3.65699,-3.30869,0.06136
1768585974.95045,-3.71831,-3.30661,-3.58809,-3.38116,0.06437
1768585975.04906,-3.64994,-3.36337,-3.51775,-3.45225,0.01936
1768585975.15108,-3.60470,-3.39110,-3.44601,-3.52191,0.02594
1768585975.25772,-3.47139,-3.52723,-3.37288,-3.59012,0.10945
1768585975.35132,-3.48205,-3.58225,-3.29841,-3.65685,0.06335
1768585975.44848,-3.43622,-3.58894,-3.22262,-3.72208,0.04038
1768585975.54761,-3.28675,-3.69551,-3.14554,-3.78579,0.07048
1768585975.64924,-3.29021,-3.70212,-3.06720,-3.84794,0.03648
1768585975.76254,-3.13578,-3.75064,-2.98763,-3.90851,0.08620
1768585975.85193,-3.05166,-3.85079,-2.90687,-3.96747,0.04354
1768585975.94845,-2.95824,-3.87639,-2.82494,-4.02481,0.02853
1768585976.05363,-2.88437,-3.94994,-2.74189,-4.08050,0.08571
1768585976.14959,-2.74878,-3.98550,-2.65774,-4.13452,0.05058
1768585976.24891,-2.76432,-4.12584,-2.57252,-4.18685,0.04722
1768585976.35346,-2.66029,-4.08737,-2.48627,-4.23746,0.01501
1768585976.45423,-2.56038,-4.17801,-2.39903,-4.28633,0.05796
1768585976.55901,-2.51620,-4.28709,-2.31083,-4.33345,0.02915
1768585976.65069,-2.37261,-4.29865,-2.22171,-4.37880,0.06851
1768585976.76932,-2.35442,-4.28060,-2.13169,-4.42235,0.08495
1768585976.84798,-2.29575,-4.33716,-2.04082,-4.46410,0.05164
1768585976.94956,-2.17927,-4.40227,-1.94914,-4.50402,0.01883
1768585977.04803,-2.05499,-4.45170,-1.85668,-4.54210,0.07237
1768585977.14804,-1.89575,-4.48119,-1.76347,-4.57832,0.05663
1768585977.25446,-1.91239,-4.53193,-1.66956,-4.61268,0.11941
1768585977.35406,-1.78826,-4.59976,-1.57497,-4.64514,0.08306
1768585977.83193,-1.75246,-4.61786,-1.47976,-4.67571,0.00835
1768585977.96579,-1.57976,-4.63830,-1.38396,-4.70437,0.00955
1768585978.04920,-1.48417,-4.68419,-1.28760,-4.73110,0.02950
1768585978.15769,-1.40167,-4.72797,-1.19073,-4.75591,0.13033
1768585978.26705,-1.32093,-4.76170,-1.09338,-4.77877,0.08527
1768585978.37366,-1.27184,-4.78221,-0.99559,-4.79968,0.09830
1768585978.44801,-1.18559,-4.81280,-0.89740,-4.81863,0.02617
1768585978.56661,-1.01865,-4.81205,-0.79886,-4.83561,0.12235
1768585978.66426,-0.90239,-4.77043,-0.69999,-4.85062,0.09216
1768585978.76486,-0.79122,-4.83756,-0.60085,-4.86365,0.10407
1768585978.84957,-0.70486,-4.86027,-0.50146,-4.87470,0.07355
1768585978.95433,-0.62995,-4.79611,-0.40187,-4.88375,0.11852
1768585979.06197,-0.50778,-4.83055,-0.30212,-4.89081,0.00579
1768585979.15565,-0.39649,-4.88161,-0.20225,-4.89587,0.09364
1768585979.26025,-0.20851,-4.88871,-0.10230,-4.89894,0.07724
1768585979.36529,-0.16270,-4.85079,-0.00231,-4.90001,0.07465
1768585979.45326,-0.06643,-4.93823,0.09768,-4.89907,0.05159
1768585979.56380,-0.05117,-4.91655,0.19764,-4.89614,0.04683
1768585979.64890,0.14066,-4.91767,0.29752,-4.89121,0.09407
1768585979.81594,0.21713,-4.84235,0.39727,-4.88428,0.02064
1768585979.87529,0.31814,-4.89034,0.49687,-4.87536,0.04899
