# num_particles=1000
time,x_est,y_est,x_gt,y_gt,rmse
1768582529.74936,4.81894,1.38208,4.84239,1.34939,0.26521
1768582529.84835,4.81336,1.51217,4.81643,1.44596,0.14239
1768582529.94902,4.81116,1.48831,4.78855,1.54199,0.38500
1768582530.05093,5.18885,1.54356,4.75876,1.63745,0.43368
1768582530.15863,5.22202,1.55568,4.72706,1.73229,0.45884
1768582530.26362,5.21091,1.55945,4.69347,1.82648,0.47086
1768582530.35189,5.14528,1.69392,4.65800,1.91997,0.46081
1768582530.46104,5.09946,1.78784,4.62067,2.01274,0.38520
1768582530.55794,5.00413,1.97611,4.58150,2.10475,0.40195
1768582530.65413,4.96952,1.99987,4.54049,2.19595,0.37379
1768582530.74908,4.90023,2.09445,4.49766,2.28632,0.26451
1768582530.86807,4.79905,2.25176,4.45304,2.37581,0.33482
1768582530.95073,4.76642,2.25791,4.40664,2.46439,0.20978
1768582531.04842,4.65939,2.41360,4.35847,2.55202,0.18982
1768582531.15403,4.59270,2.50194,4.30856,2.63867,0.30045
1768582531.25141,4.57782,2.50537,4.25693,2.72431,0.23403
1768582531.34801,4.47684,2.64426,4.20360,2.80890,0.20348
1768582531.46225,4.44607,2.64927,4.14858,2.89240,0.27815
1768582531.55077,4.37904,2.73666,4.09191,2.97479,0.23499
1768582531.65408,4.34623,2.76529,4.03360,3.05603,0.20947
1768582531.74780,4.26745,2.86050,3.97368,3.13608,0.26627
1768582531.84958,4.24703,2.89683,3.91216,3.21493,0.13721
1768582531.95300,4.09997,3.08247,3.84909,3.29252,0.09889
1768582532.04830,3.90267,3.31335,3.78447,3.36884,0.05640
1768582532.14824,3.90072,3.31522,3.71834,3.44385,0.05839
1768582532.25314,3.77505,3.45777,3.65073,3.51752,0.04509
1768582532.34810,3.76330,3.44730,3.58165,3.58983,0.12532
1768582532.44909,3.75615,3.44977,3.51114,3.66074,0.07370
1768582532.56107,3.54682,3.65478,3.43923,3.73022,0.12962
1768582532.65170,3.54172,3.65088,3.36594,3.79826,0.18836
1768582532.75806,3.51072,3.67778,3.29131,3.86481,0.13149
1768582532.85414,3.46866,3.71617,3.21536,3.92986,0.03651
1768582532.94736,3.26559,3.89072,3.13812,3.99338,0.00221
1768582533.04996,3.21604,3.93197,3.05963,4.05534,0.06359
