# num_particles=1000
time,x_est,y_est,x_gt,y_gt,rmse
1768587244.85438,4.71479,1.79888,4.67284,1.88154,0.19772
1768587244.95384,4.64920,1.97667,4.63628,1.97461,0.10432
1768587245.05031,4.64225,1.98127,4.59786,2.06694,1.13227
1768587245.15053,5.60405,2.58620,4.55761,2.15847,1.26763
1768587245.24884,5.70304,2.68779,4.51553,2.24919,1.11906
1768587245.35228,5.51516,2.73760,4.47164,2.33904,0.82230
1768587245.45346,5.26028,2.57193,4.42597,2.42800,0.62108
1768587245.55062,5.08155,2.45634,4.37853,2.51603,0.57566
1768587245.66712,5.00155,2.41838,4.32934,2.60309,0.57644
1768587245.75374,4.88313,2.44311,4.27841,2.68915,0.53199
1768587245.84940,4.77168,2.48990,4.22578,2.77418,0.40623
1768587245.95831,4.61708,2.66509,4.17145,2.85813,0.30338
1768587246.05861,4.52619,2.73192,4.11546,2.94098,0.36611
1768587246.15960,4.45240,2.79778,4.05782,3.02270,0.33139
1768587246.25146,4.42792,2.83057,3.99856,3.10325,0.30558
1768587246.35558,4.33956,2.90436,3.93770,3.18259,0.22935
1768587246.45650,4.21680,3.03274,3.87526,3.26070,0.16026
1768587246.55050,4.09111,3.13626,3.81128,3.33755,0.09548
1768587246.64885,3.94593,3.32491,3.74577,3.41310,0.13301
1768587246.74978,3.94104,3.30836,3.67876,3.48733,0.14260
1768587246.85031,3.88553,3.38477,3.61028,3.56021,0.33700
1768587246.95185,3.88550,3.36571,3.54036,3.63169,0.10598
1768587247.05825,3.71216,3.53099,3.46903,3.70177,0.17261
1768587247.15033,3.68796,3.54221,3.39630,3.77041,0.25387
1768587247.26020,3.67234,3.54975,3.32222,3.83757,0.18675
1768587247.35013,3.54635,3.65923,3.24681,3.90325,0.11549
1768587247.44800,3.40148,3.75358,3.17010,3.96740,0.18431
1768587247.54888,3.37401,3.76987,3.09212,4.03000,0.07671
1768587247.65455,3.21654,3.90635,3.01291,4.09103,0.22576
1768587247.74810,3.26230,3.88165,2.93249,4.15047,0.29607
1768587247.85007,3.24191,3.90338,2.85090,4.20829,0.01844
1768587247.94927,2.92212,4.16571,2.76817,4.26446,0.08267
1768587248.04803,2.78397,4.25681,2.68433,4.31897,0.00522
1768587248.15235,2.76612,4.25966,2.59942,4.37178,0.01854
1768587248.24852,2.68870,4.30094,2.51347,4.42290,0.07999
1768587248.34994,2.66212,4.32211,2.42652,4.47228,0.09861
1768587248.45637,2.59999,4.37559,2.33859,4.51991,0.09011
1768587248.55433,2.41616,4.47403,2.24973,4.56577,0.08260
1768587248.65173,2.41361,4.48535,2.15997,4.60985,0.07035
1768587248.75193,2.18964,4.60235,2.06935,4.65213,0.06204
1768587248.84867,2.10169,4.63112,1.97790,4.69258,0.02282
1768587248.95514,2.04672,4.65503,1.88566,4.73120,0.16931
1768587249.05198,2.03653,4.65436,1.79266,4.76796,0.02269
1768587249.15884,1.86786,4.71713,1.69895,4.80286,0.18590
1768587249.25098,1.61314,4.81624,1.60456,4.83588,0.22436
1768587249.34955,1.38727,4.89177,1.50953,4.86700,0.19132
1768587249.44826,1.41724,4.87476,1.41390,4.89621,0.03295
1768587249.55734,1.47946,4.85354,1.31769,4.92351,0.23917
1768587249.66822,1.17973,4.94486,1.22097,4.94888,0.10921
1768587249.75037,1.20919,4.93586,1.12375,4.97231,0.06257
1768587249.85184,1.17849,4.94199,1.02609,4.99378,0.10873
1768587249.95138,1.12958,4.96044,0.92801,5.01331,0.09076
1768587250.05810,0.93539,4.99041,0.82957,5.03086,0.07866
1768587250.15110,0.84938,5.01130,0.73079,5.04645,0.25361
1768587250.24887,0.57648,5.04712,0.63172,5.06005,0.11777
1768587250.34962,0.61331,5.05460,0.53240,5.07167,0.27824
1768587250.44988,0.35442,5.08288,0.43287,5.08131,0.21013
1768587250.56090,0.22280,5.08665,0.33316,5.08895,0.14241
1768587250.65402,0.19139,5.07555,0.23332,5.09459,0.12849
1768587250.74847,0.20534,5.07584,0.13339,5.09824,0.07209
1768587250.85029,0.16125,5.09615,0.03341,5.09989,0.04641
1768587250.95647,0.09134,5.07861,-0.06659,5.09954,0.14067
1768587251.05970,0.07317,5.08361,-0.16656,5.09718,0.10748
1768587251.15028,-0.17404,5.09707,-0.26646,5.09283,0.02450
1768587251.25700,-0.17271,5.12090,-0.36626,5.08649,0.12426
1768587251.35115,-0.14339,5.10995,-0.46591,5.07815,0.12480
1768587251.45525,-0.24359,5.10943,-0.56537,5.06781,0.24167
1768587251.54934,-0.32561,5.09807,-0.66461,5.05549,0.22745
1768587251.65193,-0.43863,5.08127,-0.76358,5.04119,0.21249
1768587251.76079,-0.55209,5.06184,-0.86224,5.02491,0.12483
1768587251.85337,-0.73982,5.04927,-0.96056,5.00666,0.07530
1768587251.95060,-0.93407,5.00228,-1.05850,4.98645,0.13064
1768587252.05129,-1.08752,4.97587,-1.15601,4.96428,0.01111
1768587252.15748,-1.16660,4.96762,-1.25306,4.94017,0.10779
1768587252.24964,-1.15373,4.98204,-1.34960,4.91413,0.17748
1768587252.35563,-1.17865,4.96180,-1.44561,4.88615,0.04272
1768587252.45352,-1.30739,4.90759,-1.54104,4.85627,0.10673
1768587252.56491,-1.34195,4.91157,-1.63585,4.82448,0.12081
1768587252.65339,-1.42148,4.87361,-1.73000,4.79080,0.03955
1768587252.74816,-1.60142,4.80502,-1.82347,4.75524,0.01181
1768587252.84998,-1.82012,4.74392,-1.91620,4.71782,0.08274
1768587252.95634,-1.83473,4.73228,-2.00817,4.67856,0.04786
