# num_particles=1000
time,x_est,y_est,x_gt,y_gt,rmse
1768586746.14886,-1.08266,-4.76147,-0.87992,-4.82179,0.05182
1768586746.24839,-0.92785,-4.79087,-0.78132,-4.83843,0.79361
1768586746.35385,-1.43514,-5.38886,-0.68240,-4.85308,0.40882
1768586746.45355,-1.07008,-5.12782,-0.58321,-4.86576,0.43957
1768586746.54997,-0.98793,-5.03731,-0.48378,-4.87645,0.20002
1768586746.64843,-0.71528,-5.01597,-0.38417,-4.88515,0.12667
1768586746.75067,-0.47735,-5.00296,-0.28439,-4.89186,0.11956
1768586746.84923,-0.37746,-4.96691,-0.18450,-4.89656,0.07112
1768586746.95517,-0.23197,-4.93992,-0.08454,-4.89927,0.12847
1768586747.04898,-0.21282,-4.90626,0.01545,-4.89999,0.00816
1768586747.14838,-0.07777,-4.90383,0.11544,-4.89870,0.04583
1768586747.25954,-0.02876,-4.88793,0.21539,-4.89541,0.06370
1768586747.35278,0.05236,-4.88984,0.31525,-4.89012,0.10363
1768586747.45527,0.21338,-4.87107,0.41498,-4.88284,0.11614
1768586747.55014,0.42687,-4.85807,0.51455,-4.87356,0.08952
1768586747.65733,0.43313,-4.83635,0.61391,-4.86230,0.08946
1768586747.75376,0.52458,-4.86709,0.71302,-4.84905,0.04543
1768586747.85137,0.65930,-4.86414,0.81186,-4.83382,0.02849
1768586747.94860,0.68470,-4.84603,0.91036,-4.81662,0.07957
1768586748.04918,0.88787,-4.81030,1.00851,-4.79745,0.04382
1768586748.15162,1.02818,-4.75830,1.10625,-4.77632,0.02043
1768586748.24771,1.08619,-4.77244,1.20355,-4.75324,0.06774
1768586748.34860,1.04226,-4.79856,1.30036,-4.72822,0.02753
1768586748.45516,1.17780,-4.76298,1.39666,-4.70127,0.04142
1768586748.54938,1.28126,-4.76497,1.49240,-4.67240,0.01893
1768586748.65140,1.40050,-4.71981,1.58755,-4.64162,0.08152
1768586748.74815,1.42562,-4.71915,1.68205,-4.60894,0.09703
1768586748.85285,1.50236,-4.68807,1.77589,-4.57438,0.07421
1768586748.95778,1.63355,-4.66510,1.86902,-4.53795,0.26358
1768586749.05626,1.65018,-4.68488,1.96140,-4.49966,0.16169
1768586749.15009,1.82652,-4.58883,2.05299,-4.45954,0.12167
1768586749.25843,1.84932,-4.54703,2.14376,-4.41759,0.11285
1768586749.34986,1.94814,-4.50128,2.23368,-4.37383,0.06788
1768586749.44787,2.08495,-4.45149,2.32271,-4.32829,0.05331
1768586749.54779,2.18985,-4.40418,2.41080,-4.28097,0.04856
1768586749.64943,2.36742,-4.30935,2.49793,-4.23190,0.03641
1768586749.74713,2.46837,-4.21064,2.58407,-4.18110,0.06276
1768586749.84968,2.54849,-4.19473,2.66917,-4.12859,0.06729
1768586749.94890,2.61201,-4.11988,2.75320,-4.07438,0.04333
1768586750.05203,2.65441,-4.08784,2.83613,-4.01851,0.05037
1768586750.15702,2.76569,-4.02558,2.91793,-3.96098,0.02719
1768586750.24818,2.84050,-3.99167,2.99856,-3.90184,0.03910
1768586750.34881,2.94667,-3.93448,3.07799,-3.84109,0.14320
1768586750.44844,2.96731,-3.93197,3.15619,-3.77877,0.04660
1768586750.54929,3.11675,-3.81522,3.23313,-3.71489,0.06785
1768586750.65252,3.11249,-3.83067,3.30878,-3.64949,0.13298
1768586750.75532,3.31645,-3.61125,3.38310,-3.58259,0.01902
1768586750.84882,3.28994,-3.64685,3.45607,-3.51421,0.08057
1768586750.95066,3.30350,-3.59505,3.52766,-3.44440,0.03343
1768586751.04851,3.42266,-3.51330,3.59783,-3.37316,0.08424
1768586751.15369,3.44891,-3.47433,3.66657,-3.30053,0.12773
1768586751.24842,3.48919,-3.44033,3.73385,-3.22654,0.09400
1768586751.35233,3.59055,-3.35581,3.79963,-3.15123,0.05658
1768586751.44751,3.69464,-3.26734,3.86389,-3.07461,0.11989
1768586751.55189,3.69447,-3.20881,3.92660,-2.99672,0.11773
1768586751.64925,3.76518,-3.13877,3.98775,-2.91760,0.11030
1768586751.75664,3.83414,-3.05686,4.04730,-2.83726,0.02558
1768586751.85012,3.97529,-2.89526,4.10523,-2.75576,0.13990
1768586751.95106,4.00664,-2.85501,4.16152,-2.67310,0.09648
1768586752.05015,4.04137,-2.82808,4.21615,-2.58935,0.13649
1768586752.14826,4.14282,-2.70446,4.26909,-2.50451,0.07559
1768586752.24904,4.17897,-2.65517,4.32032,-2.41863,0.06694
1768586752.35740,4.32462,-2.46712,4.36982,-2.33175,0.13251
1768586752.45790,4.31670,-2.45314,4.41758,-2.24389,0.06653
1768586752.54854,4.41551,-2.28338,4.46357,-2.15510,0.04486
1768586752.66150,4.45302,-2.21639,4.50778,-2.06540,0.03618
1768586752.75210,4.48567,-2.03676,4.55018,-1.97484,0.02979
1768586752.85116,4.48119,-2.05196,4.59077,-1.88345,0.11555
1768586752.95321,4.57290,-1.86154,4.62952,-1.79126,0.01349
1768586753.05200,4.61807,-1.78412,4.66641,-1.69832,0.08934
1768586753.15570,4.66926,-1.71124,4.70144,-1.60466,0.02197
1768586753.25239,4.66548,-1.67637,4.73459,-1.51031,0.02600
1768586753.35237,4.68898,-1.62748,4.76585,-1.41532,0.11328
1768586753.45820,4.77340,-1.40388,4.79520,-1.31973,0.00189
1768586753.55274,4.76434,-1.41419,4.82264,-1.22357,0.11050
1768586753.64818,4.77299,-1.32229,4.84814,-1.12688,0.05553
1768586753.75298,4.79514,-1.27182,4.87171,-1.02970,0.13004
1768586753.84836,4.85143,-1.15815,4.89333,-0.93206,0.03226
1768586753.94767,4.86045,-1.05993,4.91299,-0.83402,0.06168
1768586754.04976,4.84752,-0.97336,4.93068,-0.73560,0.03644
1768586754.15319,4.89069,-0.86284,4.94641,-0.63684,0.03208
1768586754.26177,4.93867,-0.76666,4.96016,-0.53779,0.06990
1768586754.34891,4.96273,-0.56887,4.97192,-0.43849,0.02226
1768586754.45050,4.97119,-0.55712,4.98169,-0.33897,0.16388
1768586754.55807,5.01641,-0.28076,4.98948,-0.23927,0.09875
1768586754.64751,5.02133,-0.14580,4.99526,-0.13944,0.04994
1768586754.74958,5.00150,-0.19081,4.99905,-0.03952,0.05553
1768586754.85304,4.99302,-0.19493,5.00084,0.06046,0.03659
1768586754.94904,4.96891,-0.01877,5.00063,0.16046,0.07159
1768586755.05129,4.96272,-0.00013,4.99843,0.26044,0.04206
1768586755.15252,4.96233,0.28203,4.99422,0.36035,0.03490
1768586755.25569,4.98732,0.29353,4.98801,0.46015,0.07325
1768586755.34811,4.98444,0.53331,4.97981,0.55981,0.02813
1768586755.44785,4.98197,0.48762,4.96962,0.65929,0.07197
