# num_particles=500
time,x_est,y_est,x_gt,y_gt,rmse
1768520567.38310,5.01978,0.59722,4.96671,0.68456,0.04729
1768520567.48670,5.02457,0.58170,4.95403,0.78375,1.06784
1768520567.61139,5.45459,-0.15950,4.93936,0.88267,1.03068
1768520567.69300,5.44751,-0.01403,4.92272,0.98128,0.60838
1768520567.78769,5.31525,0.51647,4.90411,1.07953,0.46600
1768520567.88424,5.21853,0.73558,4.88354,1.17739,0.35069
1768520567.99009,5.09655,0.89880,4.86102,1.27482,0.17701
1768520568.08425,5.01105,1.05461,4.83655,1.37177,0.06037
1768520568.18384,4.91019,1.30985,4.81015,1.46822,0.09776
1768520568.31374,4.80256,1.46344,4.78183,1.56413,0.03603
1768520568.38323,4.78987,1.43844,4.75159,1.65945,0.05373
1768520568.48428,4.73877,1.53199,4.71945,1.75414,0.04476
1768520568.58540,4.70726,1.65325,4.68543,1.84817,0.04458
1768520568.68420,4.72779,1.71034,4.64953,1.94150,0.04902
1768520568.78289,4.68637,1.89719,4.61177,2.03410,0.07890
1768520568.88328,4.66846,2.01810,4.57217,2.12592,0.05475
1768520568.98281,4.59333,2.08565,4.53074,2.21693,0.05753
1768520569.08216,4.54832,2.17827,4.48750,2.30710,0.03144
1768520569.19023,4.55957,2.20438,4.44246,2.39638,0.05540
1768520569.28241,4.49242,2.37244,4.39565,2.48475,0.17272
1768520569.38284,4.36127,2.54883,4.34708,2.57216,0.21142
1768520569.48222,4.28247,2.66332,4.29677,2.65858,0.08123
1768520569.58226,4.28511,2.62468,4.24474,2.74398,0.05236
1768520569.68469,4.25621,2.69169,4.19102,2.82832,0.03659
1768520569.78294,4.24985,2.70774,4.13562,2.91157,0.05612
1768520569.90189,4.13964,2.85090,4.07856,2.99369,0.13899
1768520569.98343,4.12487,2.86265,4.01988,3.07466,0.09830
1768520570.08539,3.98799,3.03190,3.95958,3.15443,0.03815
1768520570.18214,3.99786,3.04350,3.89771,3.23299,0.01048
1768520570.28308,3.94972,3.15797,3.83427,3.31029,0.01086
1768520570.39606,3.90458,3.22458,3.76930,3.38631,0.09895
1768520570.48290,3.88716,3.22666,3.70283,3.46101,0.06480
1768520570.58215,3.81365,3.33907,3.63487,3.53437,0.07220
1768520570.69572,3.73921,3.39865,3.56546,3.60636,0.23837
1768520570.78212,3.67296,3.39361,3.49463,3.67694,0.20190
1768520570.88177,3.65927,3.42758,3.42239,3.74610,0.25463
1768520570.98643,3.58212,3.43782,3.34879,3.81379,0.30187
1768520571.08869,3.48569,3.54474,3.27385,3.88000,0.17498
1768520571.18530,3.42581,3.65667,3.19760,3.94470,0.26517
1768520571.31322,3.43117,3.66654,3.12007,4.00785,0.17835
