# num_particles=5000
time,x_est,y_est,x_gt,y_gt,rmse
1768520760.99832,3.09637,-3.82904,3.25587,-3.69551,0.09752
1768520761.08501,3.20381,-3.77797,3.33112,-3.62966,0.06778
1768520761.19189,3.20598,-3.74139,3.40504,-3.56231,0.17685
1768520761.28972,3.46861,-3.51842,3.47761,-3.49350,0.03811
1768520761.41182,3.45380,-3.52326,3.54877,-3.42326,0.14362
1768520761.49288,3.44970,-3.52724,3.61853,-3.35160,0.30415
1768520761.58795,3.38721,-3.54909,3.68683,-3.27857,0.26291
1768520761.70048,3.48431,-3.44622,3.75366,-3.20418,0.23715
1768520761.80235,3.56401,-3.34655,3.81899,-3.12847,0.01883
1768520761.89247,3.76660,-3.19050,3.88279,-3.05147,0.01434
1768520761.99023,3.86894,-3.05517,3.94504,-2.97321,0.08323
1768520762.09121,3.93699,-2.98831,4.00571,-2.89372,0.10169
1768520762.18937,3.95489,-2.98180,4.06478,-2.81303,0.06939
1768520762.29389,4.04970,-2.84006,4.12222,-2.73118,0.10298
1768520762.39120,4.06418,-2.81624,4.17802,-2.64819,0.04878
1768520762.48944,4.10153,-2.77535,4.23214,-2.56411,0.16173
1768520762.59666,4.13717,-2.69501,4.28457,-2.47896,0.08613
1768520762.69096,4.22037,-2.53637,4.33529,-2.39278,0.03494
1768520762.79562,4.26429,-2.45051,4.38428,-2.30560,0.11097
1768520762.88952,4.33564,-2.40534,4.43151,-2.21746,0.03545
1768520762.99164,4.36602,-2.33598,4.47697,-2.12839,0.09651
1768520763.09094,4.45225,-2.22168,4.52064,-2.03843,0.07589
1768520763.18771,4.46146,-2.20268,4.56250,-1.94762,0.19882
1768520763.29014,4.42966,-2.21521,4.60254,-1.85598,0.10386
1768520763.39096,4.56128,-1.95130,4.64074,-1.76357,0.15070
1768520763.49308,4.57372,-1.89855,4.67708,-1.67041,0.13747
1768520763.58973,4.63014,-1.79962,4.71155,-1.57654,0.04587
1768520763.69121,4.66156,-1.62723,4.74413,-1.48200,0.15191
1768520763.80354,4.67442,-1.61697,4.77482,-1.38682,0.03631
1768520763.96044,4.73878,-1.39118,4.80360,-1.29106,0.09538
1768520763.99769,4.75181,-1.37115,4.83046,-1.19473,0.06770
1768520764.10198,4.78309,-1.24310,4.85539,-1.09789,0.06034
1768520764.21671,4.84017,-1.13518,4.87837,-1.00057,0.04534
1768520764.29050,4.86140,-1.04261,4.89941,-0.90281,0.00663
1768520764.77934,4.90399,-0.90759,4.93559,-0.70612,0.06610
1768520764.79189,4.90882,-0.87003,4.93559,-0.70612,0.14430
1768520765.44035,4.91818,-0.84937,4.95072,-0.60728,0.19219
1768520765.71156,4.97209,-0.79827,4.96388,-0.50815,0.22306
1768520766.00857,4.98323,-0.73036,4.97505,-0.40877,0.02244
1768520766.27176,4.98056,-0.43052,4.98423,-0.30920,0.02245
1768520766.34444,4.97469,-0.43122,4.99141,-0.20946,0.05653
1768520766.38615,4.99488,-0.25368,4.99661,-0.10959,0.00114
1768520766.49028,4.99108,-0.21055,4.99980,-0.00965,0.23746
1768520766.59197,4.97892,-0.24619,5.00099,0.09034,0.10719
1768520766.69732,4.98648,-0.01585,5.00018,0.19034,0.06947
1768520766.85221,4.97472,0.02604,4.99738,0.29030,0.17637
1768520766.91821,4.97405,0.11548,4.99257,0.39018,0.19406
1768520766.99845,4.98637,0.19622,4.98577,0.48995,0.13466
1768520767.11738,4.99208,0.25552,4.97697,0.58956,0.32550
1768520767.20692,4.98566,0.26417,4.96619,0.68897,0.06253
1768520767.29871,4.96445,0.65082,4.95342,0.78815,0.04670
1768520767.78143,4.96688,0.73567,4.92194,0.98565,0.14923
1768520767.79510,4.96357,0.73992,4.92194,0.98565,0.05804
1768520768.31830,4.94626,0.93295,4.90324,1.08388,0.05270
1768520768.59946,4.94605,0.93878,4.88258,1.18172,0.12725
1768520768.78637,4.90185,1.05594,4.83542,1.37607,0.02924
1768520768.80975,4.83099,1.28300,4.83542,1.37607,0.07799
1768520769.18874,4.83561,1.29808,4.80893,1.47250,0.07592
1768520769.45932,4.77940,1.40256,4.78053,1.56837,0.04511
1768520769.72696,4.74875,1.53636,4.75020,1.66366,0.12846
1768520770.01657,4.76370,1.53591,4.71798,1.75833,0.08530
1768520770.22277,4.72665,1.67347,4.68387,1.85233,0.04005
1768520770.30258,4.64386,1.85399,4.64789,1.94563,0.08283
1768520770.40136,4.67047,1.86594,4.61005,2.03819,0.04573
1768520770.48935,4.61865,1.98078,4.57037,2.12998,0.05368
1768520770.59478,4.60586,2.08971,4.52886,2.22096,0.10170
1768520770.69068,4.55003,2.12148,4.48554,2.31108,0.07804
1768520770.78947,4.52199,2.14322,4.44042,2.40033,0.03215
1768520770.88484,4.44142,2.43246,4.39353,2.48865,0.07577
1768520770.98969,4.43752,2.42696,4.34488,2.57602,0.08789
1768520771.08834,4.41924,2.52914,4.29450,2.66239,0.19371
1768520771.20179,4.39453,2.49651,4.24239,2.74774,0.09202
1768520771.28522,4.32742,2.57646,4.18859,2.83204,0.16647
1768520771.38747,4.30894,2.59515,4.13312,2.91524,0.33145
1768520771.48487,4.31417,2.63761,4.07599,2.99731,0.23440
1768520771.58468,4.26795,2.72350,4.01723,3.07823,0.27295
1768520771.68370,4.19824,2.87393,3.95687,3.15795,0.21101
1768520771.78775,4.14029,2.90681,3.89492,3.23645,0.18172
1768520771.88888,4.07157,3.01701,3.83142,3.31370,0.18789
1768520772.02199,3.95357,3.17092,3.76638,3.38966,0.25178
1768520772.10164,3.91769,3.18840,3.69984,3.46430,0.19266
1768520772.19001,3.81584,3.31048,3.63182,3.53760,0.13445
1768520772.28780,3.69672,3.41985,3.56235,3.60952,0.17352
1768520772.39980,3.64520,3.45706,3.49145,3.68004,0.21590
1768520772.48450,3.67218,3.42365,3.41915,3.74913,0.27405
1768520772.59137,3.56343,3.51614,3.34549,3.81676,0.19367
1768520772.76561,3.44576,3.65106,3.27049,3.88290,0.24546
1768520772.84810,3.41910,3.68754,3.19419,3.94753,0.27047
1768520772.88942,3.36649,3.73904,3.11660,4.01062,0.13167
1768520772.99157,3.25520,3.83085,3.03777,4.07215,0.41179
1768520773.17054,3.34248,3.79517,2.95773,4.13209,0.05850
1768520773.22130,3.07204,4.02473,2.87650,4.19041,0.04252
1768520773.30544,2.91569,4.12567,2.79412,4.24710,0.01828
1768520773.46509,2.89444,4.18689,2.71063,4.30213,0.12956
1768520773.48858,2.83557,4.26787,2.62605,4.35548,0.05779
1768520773.63577,2.68258,4.34349,2.54042,4.40712,0.11749
1768520773.69120,2.64107,4.34652,2.45377,4.45705,0.06628
1768520773.80706,2.58308,4.35640,2.36615,4.50523,0.17408
1768520773.89605,2.48678,4.37972,2.27758,4.55165,0.13917
