# num_particles=1000
time,x_est,y_est,x_gt,y_gt,rmse
1768520628.50897,-0.21770,-4.87628,0.00904,-4.90000,0.07213
1768520628.60921,-0.02549,-4.86890,0.10903,-4.89884,0.06799
1768520628.69987,-0.00627,-4.83376,0.20898,-4.89568,0.10888
1768520628.80030,0.31730,-4.90674,0.30884,-4.89052,0.23340
1768520628.90370,0.38050,-5.05397,0.40859,-4.88337,0.22013
1768520628.98993,0.48141,-5.02720,0.50816,-4.87422,0.12487
1768520629.09105,0.56646,-4.98465,0.60754,-4.86308,0.08487
1768520629.19099,0.47187,-4.95093,0.70667,-4.84996,0.05540
1768520629.29050,0.66808,-4.88970,0.80553,-4.83486,0.15043
1768520629.39046,0.66310,-4.88325,0.90406,-4.81778,0.03637
1768520629.49741,0.78189,-4.86249,1.00222,-4.79874,0.01951
1768520629.58892,0.90938,-4.83654,1.09999,-4.77773,0.05135
1768520629.68233,1.05162,-4.81279,1.19732,-4.75478,0.05973
1768520629.79730,1.04066,-4.77086,1.29417,-4.72988,0.05431
1768520629.96710,1.14390,-4.74503,1.39050,-4.70306,0.07116
1768520629.99517,1.34956,-4.68521,1.48628,-4.67431,0.03233
1768520630.10302,1.45512,-4.68293,1.58146,-4.64365,0.01760
1768520630.18716,1.47629,-4.65981,1.67601,-4.61109,0.03562
1768520630.32572,1.69115,-4.57885,1.76989,-4.57665,0.01738
1768520630.42977,1.67613,-4.59371,1.86307,-4.54034,0.10251
1768520630.49307,1.86018,-4.52811,1.95549,-4.50218,0.08008
1768520630.61411,1.93978,-4.51736,2.04714,-4.46217,0.03252
1768520630.71369,1.93607,-4.52825,2.13797,-4.42034,0.04587
1768520630.81121,2.07086,-4.50143,2.22794,-4.37669,0.05653
1768520630.88757,2.12691,-4.47578,2.31702,-4.33126,0.04535
1768520630.98488,2.20936,-4.41806,2.40518,-4.28406,0.03736
1768520631.08328,2.28715,-4.35371,2.49237,-4.23510,0.02821
1768520631.18503,2.39330,-4.30964,2.57857,-4.18441,0.04447
1768520631.28356,2.52682,-4.20698,2.66374,-4.13201,0.02245
1768520631.38324,2.59322,-4.16739,2.74784,-4.07791,0.07426
1768520631.49278,2.59267,-4.15354,2.83084,-4.02214,0.02038
1768520631.58329,2.74215,-4.05834,2.91271,-3.96472,0.10026
1768520631.68631,2.74907,-4.08016,2.99342,-3.90568,0.03887
1768520631.78375,2.88855,-3.99517,3.07293,-3.84503,0.09821
1768520631.88279,2.90477,-3.94793,3.15121,-3.78281,0.12065
