# num_particles=1000
time,x_est,y_est,x_gt,y_gt,rmse
1768584952.04802,-0.75710,-6.51527,-1.75444,-4.58172,3.30233
1768584952.14806,-0.39229,-6.67938,-1.66046,-4.61589,5.02639
1768584952.26541,0.13171,0.07736,-1.56581,-4.64817,5.01967
1768584952.34951,0.16926,0.06210,-1.47054,-4.67856,5.02111
1768584952.44857,0.29371,0.02240,-1.37469,-4.70703,5.01922
1768584952.55074,0.29134,0.02127,-1.27828,-4.73358,5.01919
1768584952.64964,0.39725,-0.01102,-1.18136,-4.75820,5.03082
1768584952.74946,0.58586,-0.06088,-1.08396,-4.78087,5.00890
1768584952.85279,0.58123,-0.05687,-0.98613,-4.80159,5.04138
1768584952.95273,0.77429,-0.09446,-0.88791,-4.82036,5.00869
1768584953.04820,0.77483,-0.09571,-0.78933,-4.83715,5.00949
1768584953.14918,0.87172,-0.11107,-0.69044,-4.85197,4.99921
1768584953.25871,0.81402,-0.10203,-0.59127,-4.86480,4.99120
1768584953.34822,0.98973,-0.13062,-0.49186,-4.87566,4.98759
1768584953.45275,0.97397,-0.12919,-0.39225,-4.88452,5.07278
1768584953.55820,1.49331,-0.17520,-0.29249,-4.89139,5.14233
1768584953.64934,1.71159,-0.19224,-0.19261,-4.89626,5.15332
1768584953.75338,1.82614,-0.19372,-0.09266,-4.89913,5.07634
1768584953.85638,1.81521,-0.19495,0.00734,-4.90000,5.13690
1768584953.95246,1.96993,-0.19451,0.10733,-4.89888,5.03013
1768584954.04770,1.76982,-0.18875,0.20728,-4.89575,4.99072
1768584954.14849,1.77000,-0.19326,0.30715,-4.89063,5.07240
1768584954.24825,2.06719,-0.17664,0.40689,-4.88350,5.03419
1768584954.35116,2.06790,-0.17440,0.50647,-4.87439,5.01109
1768584954.44918,2.21652,-0.16411,0.60585,-4.86329,5.05110
1768584954.54859,2.41626,-0.14778,0.70499,-4.85020,5.10095
1768584954.65532,2.52389,-0.13667,0.80385,-4.83513,5.08153
1768584954.74950,2.67902,-0.11225,0.90238,-4.81809,5.13769
1768584954.85340,2.79214,-0.09777,1.00056,-4.79908,5.12601
1768584954.94948,2.86769,-0.08379,1.09833,-4.77811,5.01609
1768584955.05665,2.86307,-0.08269,1.19567,-4.75519,5.16563
1768584955.16322,3.13177,-0.02954,1.29253,-4.73032,5.05193
1768584955.25703,3.13401,-0.02597,1.38887,-4.70353,5.05819
1768584955.34791,3.24146,0.00319,1.48466,-4.67481,5.06097
1768584955.45429,3.24600,0.00439,1.57985,-4.64419,4.94163
1768584955.56027,3.25437,0.00508,1.67441,-4.61166,5.16478
1768584955.64832,3.57430,0.11996,1.76830,-4.57725,5.03170
1768584955.75728,3.57550,0.11871,1.86149,-4.54097,0.59391
1768584955.84858,1.76994,-5.17116,1.95393,-4.50284,0.35343
1768584955.94998,1.68332,-4.73019,2.04559,-4.46286,0.10130
1768584956.05045,1.95850,-4.51460,2.13643,-4.42106,0.05409
1768584956.15379,1.99155,-4.46048,2.22642,-4.37745,0.12026
1768584956.25057,2.13768,-4.45862,2.31552,-4.33205,0.09261
1768584956.34833,2.13397,-4.38293,2.40369,-4.28488,0.04499
1768584956.44995,2.31904,-4.37690,2.49090,-4.23595,0.01583
